Full context	Stimulus_animacy	Construction_type	Verb	Stimulus_encoding	Participle_case
  Штрум понял, что она обижена его грубым тоном.  [Василий Гроссман. Жизнь и судьба, часть 2 (1960)] [омонимия снята]	inan	null	obidet	instrumental	
 [Бабы -- не дуры, жен]   Оссспидя, Bаng, Вы женщинами (ной), видимо, очень сильно обижены и с чувством юмора беда.  [коллективный. Депутаты запретили скрипеть, петь и свистеть после 22 часов (2015.04.15)] [омонимия не снята]	anim	null	obidet	instrumental	
 [Горожанин(1), жен]   Ну вышла бы замуж героиня статьи за него, а потом какой-нибудь его друг, который обижен тем, что друг стал мало ему времени уделять, придумает, что видел его жену с каким-то хахалем.  [коллективный. Нижегородка: «Из-за вранья в группе «Курицы» меня бросил жених!» (2014.07.11)] [омонимия не снята]	inan	null	obidet	instrumental	
 [Мария Морозова, nick]   Кто-то сам был обижен жизнью настолько, что переносил все свои обиды и озлобленность на ни в чем неповинных детей.  [коллективный. Форум: Обсуждение фильма « Доживем до понедельника» (1968) (2007-2010)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Что жалоб он не имеет.  Всем обеспечен, никем не обижен.  Вид у него при этом такой, как будто это неправда.  [Мариам Петросян. Дом, в котором... (2009)] [омонимия не снята]	anim	null	obidet	instrumental	
 Я понимаю, обижен он не тем, что увидел, а реакцией, точнее, отсутствием реакции на свое появление.  [Мариам Петросян. Дом, в котором... (2009)] [омонимия не снята]	inan	null	obidet	instrumental	
 Иной раз я сам не понимаю, откуда во мне такая горечь.  Уж вроде бы не обижен природой.  Есть внешность, способности, божий дар.  [Леонид Зорин. Казанские гастроли // «Новый Мир», 2008] [омонимия не снята]	inan	null	obidet	instrumental	
  Я был обижен и ее тоном и тем, что она с такою легкостью меня обвинила в лицемерии.  [Леонид Зорин. Юдифь (2008) // «Знамя», 2009] [омонимия не снята]	inan	cop	obidet	instrumental	
 В «доношении» Салтыкову он жаловался, что «обижен» командиром «яко каналия или бы изменник явны».  [Олег Усенко. Когда монархи маршируют // «Родина», 2008] [омонимия не снята]	anim	null	obidet	instrumental	
 Когда глубоко обижена мужем, чтобы уязвить последнего (у нее есть слово такое – “последний”, хуже некуда значит), открывает шкаф, достает форму налогового инспектора первого ранга – в соответствии с временем года и согласно табелю обмундирования, – надевает все это, серое, шерстяное, нахлобучивает в последнюю очередь фетровый берет с кокардой и эмблемой министерства по налогам и сборам, и, словно в бой последний идет, идет в универсам за покупками  .  [Сергей Носов. Грачи улетели (2005)] [омонимия не снята]	anim	null	obidet	instrumental	
  А водитель молчит разочарованно, он обижен невниманием, он оскорблен безразличием, играл желваками, потел и все сильнее разгорался от равнодушия пассажирки.  [Улья Нова. Инка (2004)] [омонимия не снята]	inan	null	obidet	instrumental	
 Если мальчик твой-бесстыжий, Хам, драчун и забияка, Будешь жизнью ты обижена, И плохой он будет папа… Если мальчик с Димой, Колей, Валей, Антониной, Будет групповуха, видно.  [Женщина + мужчина: Секс (форум) (2004)] [омонимия не снята]	inan	null	obidet	instrumental	
 Но оно этим обстоятельством раздражено и обижено, поскольку , чем-то не ущербным оно себя представляет только как  (и, при всех оговорках, единое с властью).  [Володымыр Кулык, Борис Дубин. Россия и Украина: публичные дискурсы и ожидание перемен (2003) // «Неприкосновенный запас», 2003.03.16] [омонимия не снята]	inan	null	obidet	instrumental	
  Было заметно, что оперативник все-таки обижен тем, что дело решили доверить не ему, а Гурову.  [Н. Леонов, А. Макеев. Гроссмейстер сыска (2003)] [омонимия не снята]	inan	null	obidet	instrumental	
 Дежурные по роте на такое разгильдяйство смотрели сквозь пальцы: да, не положено дневальному отвлекаться, да уж ладно и так люди судьбой обижены.  [Николай Рубан. Тельняшка для киборга (2003) // «Боевое искусство планеты», 2003.10.18] [омонимия не снята]	inan	null	obidet	instrumental	
  «МЫ БОГОМ НЕ ОБИЖЕНЫ»   Партия жизни ― это теперь не только партия, но и песня  [Ольга Тропкина. Мы богом не обижены (2003) // «Независимая газета», 2003.04.28] [омонимия не снята]	anim	null	obidet	instrumental	
  Отец мой был чем-то сильно обижен в предыдущее царствование.  [Михаил Шишкин. Всех ожидает одна ночь (1993-2003)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Очень смешливая, гибкая и ростом с меня, она ничуть не была обижена неудачею, дружески поблагодарила меня за науку.  [Анатолий Азольский. Диверсант // «Новый Мир», 2002] [омонимия не снята]	inan	cop	obidet	instrumental	
 Вследствие этого он с некоторых пор плохо представлял себе, чем она занимается, а Л. Я. была обижена тем, что он на нее не ссылается и что она оказалась вне тартуской, столь яркой, научной компании, которая получила такую всемирную известность.  [Елена Кумпан. Вспоминая Лидию Яковлевну // «Звезда», 2002] [омонимия не снята]	inan	cop	obidet	instrumental	
 Солженицын был явно обижен невниманием к своим проповедям.  [Рой Медведев. Русский вопрос по Солженицыну (2002)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Он был как будто раз и навсегда чем-то обижен, ему было как будто отказано в чем-то, что ничем нельзя было возместить, и постоянное осознание этого, вглядывание в это было, похоже, главным и единственным содержанием его жизни.  [Павел Мейлахс. Отступник // «Звезда», 2002] [омонимия не снята]	inan	cop	obidet	instrumental	
  Я обрадовался, нащупав почву, по которой можно было твердо двинуться дальше: профессор был смертельно обижен тем, что у него украли приоритет.  [Николай Климонтович. Далее ― везде (2001)] [омонимия не снята]	inan	cop	obidet	instrumental	
 ― Гуров был удивлен и обижен таким тоном своего друга-начальника.  [Николай Леонов. Лекарство от жизни (2001)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Я, правда, не думаю, что профессия ассистента была его мечтой, но он не был обижен судьбой, он жил в своей среде, которую безумно любил, и все делал добросовестно.  [Армен Медведев. Территория кино (1999-2001)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Автор в эту минуту мог быть, например, раздражен по какому-то совершенно иному поводу, мог быть чем-то обижен, мог устать после целого дня работы.  [Александр Мелихов, Андрей Столяров. Небесное и земное // «Октябрь», 2001] [омонимия не снята]	inan	inf	obidet	instrumental	
